,model,tn,fp,fn,tp,accuracy,recall,f1_score
0,Logistic Regression,424424,0,6071,49,0.9858992344568732,0.008006535947712418,0.01588588101799319
1,SVM,424424,0,2,6118,0.9999953547140362,0.9996732026143791,0.9998365746036935
2,Gradient Boosting Classifier,424424,0,152,5968,0.9996469582667509,0.9751633986928104,0.987425545996029
